Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2021;855.078.899;358.888.758;76.659.327;1.779.959;1.158.169;125.866;15.842.704;49.907.889;6.203.622;25.572;97.503;209.909;0;0;309.050;0;0;0;0;144.314;335.367.019
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;09/2021;835.861.226;153.465.784;560.863.639;22.632.265;0;0;21;38.945.786;20.931.262;0;261.841;20.552.687;0;121;9.987.696;0;0;0;0;11.410;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2021;731.579.277;480.525.506;51.718.437;8.148.859;8.127.470;5.564;654;81.847.366;14.121.825;44.351.713;2.206.155;124.115;0;0;3.675.626;0;0;0;0;23.695;31.140.919
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2021;626.658.852;345.755.857;80.109.648;2.524.136;5.487.306;13.084;19.891.588;52.745.597;10.952.613;0;158.344;90.891;0;467.548;0;14.997.731;0;0;0;71.658;92.760.621
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2021;449.279.468;289.850.249;60.625.152;979.059;896.386;61;23.862;26.433.319;2.813.301;0;587.507;38.403;0;8.305;1.835.819;0;0;0;0;53.288;65.134.754
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2021;271.051.609;38.060.592;102.211;143.314.080;69.767.100;1.046.951;3.979.418;5.602.219;5.191.646;0;0;3.987.393;0;0;0;0;0;0;0;0;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2021;101.732.313;61.470.889;331.974;272.030;703.003;0;0;28.432.497;819.609;0;1.941;0;0;0;0;0;0;0;0;2.320;9.652.577
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2021;94.638.940;52.779.760;91.864;3.137.367;0;84.441;0;18.365.396;646.317;0;201.494;160.501;0;0;962.954;0;0;0;0;3.183;18.190.488
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2021;62.003.123;52.871.854;766.294;39.267;228.616;12.496;2.199.943;4.656.925;2.577;0;0;91.034;0;0;6.387;0;0;0;0;2.558;1.125.153
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2021;38.596.796;27.793.387;5.187.465;104.595;12.007;0;6.167;4.487.602;795.926;0;32.911;0;0;0;36.967;0;0;0;0;1.778;137.991
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2021;36.366.650;28.894.759;5.735;0;58.777;0;147.316;4.606.676;439.970;237.641;2.561;0;0;50;1.454.250;0;0;0;0;2.195;516.719
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2021;27.522.732;24.441.214;148.936;73.900;62.857;0;0;2.795.826;0;0;0;0;0;0;0;0;0;0;0;0;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;09/2021;25.476.695;17.262.355;0;0;0;2.740.865;0;5.473.475;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2021;22.178.346;19.181.589;0;138.573;568.074;0;0;1.952.772;259.197;0;0;0;0;0;78.114;0;0;0;0;27;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;09/2021;21.746.543;5.540.814;0;33.918;164.546;0;0;11.826.912;213.688;0;53.694;300.346;0;0;1.554.411;0;0;0;0;2;2.058.211
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;09/2021;19.649.340;14.426.728;0;38.205;0;0;3.910.329;925.267;0;0;22.700;325.830;0;0;0;0;0;0;0;281;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;09/2021;19.004.419;18.618.255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;386.164;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;09/2021;16.479.867;13.580.816;546.878;86.291;1.046.191;0;500.362;679.220;5.323;0;0;0;0;0;0;0;34.680;0;0;104;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;09/2021;14.828.044;10.252.440;14.558;233.358;1.470.835;0;766.382;572.767;176.748;0;1.308.100;0;0;32.450;0;0;0;0;0;406;0
